serie,i,j,rep,cola,llamadas,tiempo_acum_ns,ops_acum,ops_cascada_acum
C,18,18,0,binomial,32064,9355686,210102,0
C,18,18,0,binomial,32128,9373372,210544,0
C,18,18,0,binomial,32192,9392117,210971,0
C,18,18,0,binomial,32256,9410141,211415,0
C,18,18,0,binomial,32320,9427043,211882,0
C,18,18,0,binomial,32384,9446838,212360,0
C,18,18,0,binomial,32448,9465820,212797,0
C,18,18,0,binomial,32512,9488549,213318,0
C,18,18,0,binomial,32576,9508155,213748,0
C,18,18,0,binomial,32640,9526032,214145,0
C,18,18,0,binomial,32704,9545377,214589,0
C,18,18,0,binomial,32768,9562170,215015,0
C,18,18,0,binomial,32832,9580042,215440,0
C,18,18,0,binomial,32896,9598653,215888,0
C,18,18,0,binomial,32960,9616997,216331,0
C,18,18,0,binomial,33024,9634511,216782,0
C,18,18,0,binomial,33088,9652569,217213,0
C,18,18,0,binomial,33152,9671695,217657,0
C,18,18,0,binomial,33216,9692807,218111,0
C,18,18,0,binomial,33280,9713718,218598,0
C,18,18,0,binomial,33344,9732108,219061,0
C,18,18,0,binomial,33408,9751654,219475,0
C,18,18,0,binomial,33472,9770340,219905,0
C,18,18,0,binomial,33536,9788530,220346,0
C,18,18,0,binomial,33600,9808977,220794,0
C,18,18,0,binomial,33664,9828782,221262,0
C,18,18,0,binomial,33728,9848421,221745,0
C,18,18,0,binomial,33792,9866601,222192,0
C,18,18,0,binomial,33856,9886197,222638,0
C,18,18,0,binomial,33920,9904711,223065,0
C,18,18,0,binomial,33984,9921902,223516,0
C,18,18,0,binomial,34048,9940014,223946,0
C,18,18,0,binomial,34112,9959662,224405,0
C,18,18,0,binomial,34176,9979286,224860,0
C,18,18,0,binomial,34240,9998502,225312,0
C,18,18,0,binomial,34304,10018736,225792,0
C,18,18,0,binomial,34368,10039512,226246,0
C,18,18,0,binomial,34432,10059300,226707,0
C,18,18,0,binomial,34496,10084226,227144,0
C,18,18,0,binomial,34560,10104431,227559,0
C,18,18,0,binomial,34624,10122514,228034,0
C,18,18,0,binomial,34688,10141390,228482,0
C,18,18,0,binomial,34752,10160109,228916,0
C,18,18,0,binomial,34816,10177911,229358,0
C,18,18,0,binomial,34880,10199337,229855,0
C,18,18,0,binomial,34944,10220226,230336,0
C,18,18,0,binomial,35008,10240544,230802,0
C,18,18,0,binomial,35072,10260436,231259,0
C,18,18,0,binomial,35136,10280267,231741,0
C,18,18,0,binomial,35200,10304459,232167,0
C,18,18,0,binomial,35264,10323394,232617,0
C,18,18,0,binomial,35328,10343059,233062,0
C,18,18,0,binomial,35392,10360304,233479,0
C,18,18,0,binomial,35456,10381235,233966,0
C,18,18,0,binomial,35520,10400913,234403,0
C,18,18,0,binomial,35584,10420943,234843,0
C,18,18,0,binomial,35648,10442184,235300,0
C,18,18,0,binomial,35712,10462244,235797,0
C,18,18,0,binomial,35776,10481201,236266,0
C,18,18,0,binomial,35840,10502711,236741,0
C,18,18,0,binomial,35904,10527510,237212,0
C,18,18,0,binomial,35968,10546225,237668,0
C,18,18,0,binomial,36032,10565346,238081,0
C,18,18,0,binomial,36096,10584570,238536,0
C,18,18,0,binomial,36160,10605734,239014,0
C,18,18,0,binomial,36224,10627719,239531,0
C,18,18,0,binomial,36288,10646677,239971,0
C,18,18,0,binomial,36352,10664744,240387,0
C,18,18,0,binomial,36416,10680191,240790,0
C,18,18,0,binomial,36480,10699501,241235,0
